人口密度,长度,火锅店数,三星半计数,四星级计数,四星半计数,经度,纬度
935,519.2439664,0,0,0,0,113.4983983,34.72655802
1093,0,0,0,0,0,113.5073356,34.85432155
1063,3619.372938,0,0,0,0,113.5070093,34.84940059
1074,4838.856262,0,0,0,0,113.5070093,34.84202818
1093,3512.626558,0,0,0,0,113.5070093,34.8346551
1093,553.0833674,0,0,0,0,113.5070093,34.82728137
1093,1469.528213,2,2,0,0,113.5070093,34.81990697
1093,6992.422614,0,0,0,0,113.5070093,34.81253191
1093,7709.18188,0,0,0,0,113.5070093,34.80515619
1093,3578.253444,0,0,0,0,113.5070093,34.79777982
997,2425.735339,0,0,0,0,113.5070093,34.79040278
986,0,0,0,0,0,113.5070093,34.78302508
986,0,0,0,0,0,113.5070093,34.77564672
986,0,0,0,0,0,113.5070093,34.76826771
986,3296.257133,0,0,0,0,113.5070093,34.76088803
986,0,0,0,0,0,113.5070093,34.75350769
986,3340.07212,0,0,0,0,113.5070093,34.7461267
986,3328.377044,0,0,0,0,113.5070093,34.73874504
986,7795.302258,0,0,0,0,113.5070093,34.73136273
986,506.9068781,0,0,0,0,113.5077433,34.7245443
986,0,0,0,0,0,113.5104214,34.72004883
1093,0,0,0,0,0,113.5165097,34.85476164
1093,1862.197551,0,0,0,0,113.5159925,34.84940059
1093,3015.146917,0,0,0,0,113.5159925,34.84202818
1093,2541.509042,0,0,0,0,113.5159925,34.8346551
1093,4029.565962,0,0,0,0,113.5159925,34.82728137
1093,1871.657048,0,0,0,0,113.5159925,34.81990697
1093,5328.163881,0,0,0,0,113.5159925,34.81253191
1093,6880.470984,0,0,0,0,113.5159925,34.80515619
1093,5688.272297,0,0,0,0,113.5159925,34.79777982
1000,3346.049067,0,0,0,0,113.5159925,34.79040278
986,776.2347921,0,0,0,0,113.5159925,34.78302508
986,1524.792637,0,0,0,0,113.5159925,34.77564672
986,1164.146486,0,0,0,0,113.5159925,34.76826771
986,3412.266485,0,0,0,0,113.5159925,34.76088803
986,0,0,0,0,0,113.5159925,34.75350769
986,4857.682369,0,0,0,0,113.5159925,34.7461267
986,3164.621555,0,0,0,0,113.5159925,34.73874504
986,7143.103257,0,0,0,0,113.5159925,34.73136273
986,1558.182722,1,0,0,0,113.5159925,34.72397975
986,52.84651905,0,0,0,0,113.5162321,34.7199491
1093,1785.446038,0,0,0,0,113.5250522,34.85574463
1093,3895.762625,0,0,0,0,113.5249757,34.84940059
1093,6958.002983,0,0,0,0,113.5249757,34.84202818
1093,7371.999869,0,0,0,0,113.5249757,34.8346551
1093,10212.3094,0,0,0,0,113.5249757,34.82728137
1093,11143.50292,3,3,0,0,113.5249757,34.81990697
1093,11775.77945,4,3,0,0,113.5249757,34.81253191
1093,9980.906156,0,0,0,0,113.5249757,34.80515619
1093,6809.994679,0,0,0,0,113.5249757,34.79777982
1003,6488.237517,0,0,0,0,113.5249757,34.79040278
986,5524.473146,0,0,0,0,113.5249757,34.78302508
986,5011.960264,0,0,0,0,113.5249757,34.77564672
986,3322.030682,0,0,0,0,113.5249757,34.76826771
986,7415.759619,0,0,0,0,113.5249757,34.76088803
986,3630.816284,0,0,0,0,113.5249757,34.75350769
986,7418.191882,0,0,0,0,113.5249757,34.7461267
986,8470.582199,0,0,0,0,113.5249757,34.73874504
986,16798.69622,0,0,0,0,113.5249757,34.73136273
986,6735.653488,1,1,0,0,113.5249757,34.72397975
986,1671.054548,0,0,0,0,113.5262082,34.71916288
1093,676.9507878,0,0,0,0,113.5338894,34.85565452
1093,5142.972325,0,0,0,0,113.5339588,34.84940059
1093,4755.433275,0,0,0,0,113.5339588,34.84202818
1093,4614.806506,2,2,0,0,113.5339588,34.8346551
1093,9858.008713,0,0,0,0,113.5339588,34.82728137
1093,12162.35811,0,0,0,0,113.5339588,34.81990697
1093,10377.82547,9,7,0,0,113.5339588,34.81253191
1093,9817.977142,0,0,0,0,113.5339588,34.80515619
1093,7912.343492,0,0,0,0,113.5339588,34.79777982
1265,6524.078929,0,0,0,0,113.5339588,34.79040278
1096,3715.78651,0,0,0,0,113.5339588,34.78302508
986,0,2,2,0,0,113.5339588,34.77564672
986,0,2,2,0,0,113.5339588,34.76826771
986,5213.059547,1,1,0,0,113.5339588,34.76088803
986,3135.165481,0,0,0,0,113.5339588,34.75350769
986,6784.47566,0,0,0,0,113.5339588,34.7461267
1609,5317.719637,0,0,0,0,113.5339588,34.73874504
2595,6943.499484,0,0,0,0,113.5339588,34.73136273
2777,519.8706465,0,0,0,0,113.5339588,34.72397975
2958,0,12,8,0,0,113.5340111,34.716635
4592,0,0,0,0,0,113.5353611,34.70969868
3023,0,0,0,0,0,113.5372968,34.70380561
1093,0,0,0,0,0,113.5425743,34.85528813
1093,1848.851173,0,0,0,0,113.542942,34.84940059
1093,3174.788615,2,1,0,0,113.542942,34.84202818
1093,4688.525233,4,4,0,0,113.542942,34.8346551
1093,9446.91998,0,0,0,0,113.542942,34.82728137
3178,8457.964677,0,0,0,0,113.542942,34.81990697
1093,3423.04983,3,1,1,0,113.542942,34.81253191
3475,4313.169895,10,8,0,0,113.542942,34.80515619
3638,5085.724348,1,1,0,0,113.542942,34.79777982
3927,4906.166793,0,0,0,0,113.542942,34.79040278
2144,2787.431122,0,0,0,0,113.542942,34.78302508
986,0,0,0,0,0,113.542942,34.77564672
986,267.646216,0,0,0,0,113.542942,34.76826771
2890,3435.267796,0,0,0,0,113.542942,34.76088803
4938,3619.912911,0,0,0,0,113.542942,34.75350769
986,7820.214414,0,0,0,0,113.542942,34.7461267
5055,8737.099834,0,0,0,0,113.542942,34.73874504
5025,1397.500385,0,0,0,0,113.542942,34.73136273
5057,0,0,0,0,0,113.542942,34.72397975
2270,0,1,1,0,0,113.542942,34.71659612
4592,0,0,0,0,0,113.542942,34.70921182
3023,1748.713125,0,0,0,0,113.5427006,34.7027424
1440,408.8502261,0,0,0,0,113.5493872,34.8539342
1440,1815.080074,0,0,0,0,113.5519251,34.84940059
1603,3687.59856,1,0,1,0,113.5519251,34.84202818
1767,5287.923176,0,0,0,0,113.5519251,34.8346551
1930,13209.81922,4,3,1,0,113.5519251,34.82728137
4498,15949.74166,0,0,0,0,113.5519251,34.81990697
4498,7998.182445,3,1,0,0,113.5519251,34.81253191
4719,5896.358297,2,2,0,0,113.5519251,34.80515619
4719,5828.07596,2,1,0,0,113.5519251,34.79777982
4719,4487.047193,2,0,0,0,113.5519251,34.79040278
3381,3638.94737,0,0,0,0,113.5519251,34.78302508
4471,0,0,0,0,0,113.5519251,34.77564672
4472,0,0,0,0,0,113.5519251,34.76826771
4168,5972.338569,0,0,0,0,113.5519251,34.76088803
4739,6086.663172,0,0,0,0,113.5519251,34.75350769
4739,6374.169655,0,0,0,0,113.5519251,34.7461267
3211,5169.133219,0,0,0,0,113.5519251,34.73874504
1597,1475.63429,0,0,0,0,113.5519251,34.73136273
1063,0,0,0,0,0,113.5519251,34.72397975
1063,0,0,0,0,0,113.5516396,34.71680224
1063,0,0,0,0,0,113.5494759,34.71007923
1063,0,0,0,0,0,113.5477814,34.70496642
2267,2004.233804,0,0,0,0,113.5618619,34.8558848
4719,0,0,0,0,0,113.5609083,34.84940059
4719,0,2,2,0,0,113.5609083,34.84202818
4719,3344.175524,7,6,0,0,113.5609083,34.8346551
4719,6644.072535,24,17,4,1,113.5609083,34.82728137
4719,13001.52761,1,1,0,0,113.5609083,34.81990697
4719,9818.710886,0,0,0,0,113.5609083,34.81253191
4719,7135.273039,1,1,0,0,113.5609083,34.80515619
4719,9699.284782,1,1,0,0,113.5609083,34.79777982
4719,6463.350595,0,0,0,0,113.5609083,34.79040278
4719,2829.925164,0,0,0,0,113.5609083,34.78302508
7771,140.6156677,0,0,0,0,113.5609083,34.77564672
7872,819.4168875,0,0,0,0,113.5609083,34.76826771
3767,5617.808635,1,1,0,0,113.5609083,34.76088803
1181,3961.003537,0,0,0,0,113.5609083,34.75350769
1181,6282.957938,0,0,0,0,113.5609083,34.7461267
1063,5679.464667,0,0,0,0,113.5609083,34.73874504
1063,3791.608618,0,0,0,0,113.5609083,34.73136273
1063,2882.604964,0,0,0,0,113.5609083,34.72397975
1063,24.60656382,0,0,0,0,113.5599577,34.71931061
2267,587.1678496,0,0,0,0,113.567447,34.85631168
4719,0,0,0,0,0,113.5697704,34.84928809
4719,201.5797535,0,0,0,0,113.5698914,34.84202818
4719,3072.504532,0,0,0,0,113.5698914,34.8346551
4719,5778.763748,1,1,0,0,113.5698914,34.82728137
4719,1881.411346,0,0,0,0,113.5698914,34.81990697
4719,992.316473,9,4,0,1,113.5698914,34.81253191
4719,4351.102997,3,1,1,0,113.5698914,34.80515619
4719,5797.404093,0,0,0,0,113.5698914,34.79777982
4719,5641.406126,0,0,0,0,113.5698914,34.79040278
4719,4338.434151,0,0,0,0,113.5698914,34.78302508
7617,0,0,0,0,0,113.5698914,34.77564672
10075,2412.760967,0,0,0,0,113.5698914,34.76826771
6340,4162.204225,1,1,0,0,113.5698914,34.76088803
1063,1631.0473,0,0,0,0,113.5698914,34.75350769
1063,6605.054549,0,0,0,0,113.5698914,34.7461267
1063,3983.336596,0,0,0,0,113.5698914,34.73874504
1063,1228.553686,0,0,0,0,113.5698914,34.73136273
1063,2671.635262,0,0,0,0,113.5698914,34.72397975
1063,504.0926333,0,0,0,0,113.5702696,34.71909587
3108,2802.138399,0,0,0,0,113.5786845,34.84844107
4719,2038.382376,0,0,0,0,113.5788746,34.84202818
4719,5677.000336,0,0,0,0,113.5788746,34.8346551
4719,3392.348478,0,0,0,0,113.5788746,34.82728137
4719,2850.362584,0,0,0,0,113.5788746,34.81990697
4719,1524.390789,1,1,0,0,113.5788746,34.81253191
4719,1606.22496,1,1,0,0,113.5788746,34.80515619
4719,2336.757998,2,2,0,0,113.5788746,34.79777982
4719,1386.353721,0,0,0,0,113.5788746,34.79040278
4719,9351.365577,0,0,0,0,113.5788746,34.78302508
5167,2242.079212,0,0,0,0,113.5788746,34.77564672
7515,5015.824364,0,0,0,0,113.5788746,34.76826771
9838,13073.13525,0,0,0,0,113.5788746,34.76088803
6918,6781.420854,3,3,0,0,113.5788746,34.75350769
6918,7662.726162,0,0,0,0,113.5788746,34.7461267
1063,12391.81409,0,0,0,0,113.5788746,34.73874504
1063,6361.479784,0,0,0,0,113.5788746,34.73136273
1063,2521.149653,0,0,0,0,113.5788746,34.72397975
1063,1764.724961,0,0,0,0,113.5795386,34.71735205
1063,0,0,0,0,0,113.5830381,34.71278708
862,563.4756317,0,0,0,0,113.5844605,34.84801365
4183,2629.302555,0,0,0,0,113.5846745,34.84166193
4950,5193.547731,0,0,0,0,113.5873162,34.83417199
4771,4774.458832,0,0,0,0,113.5878577,34.82728137
4719,4948.825885,0,0,0,0,113.5878577,34.81990697
4719,3755.42544,0,0,0,0,113.5878516,34.81253628
4719,9879.707818,0,0,0,0,113.5878577,34.80515619
4719,3917.741431,0,0,0,0,113.5878577,34.79777982
4719,5135.563303,4,3,1,0,113.5878577,34.79040278
7606,16775.13613,0,0,0,0,113.5878577,34.78302508
10482,8751.386612,0,0,0,0,113.5878577,34.77564672
10595,3201.059534,0,0,0,0,113.5878577,34.76826771
10075,5252.03799,0,0,0,0,113.5878577,34.76088803
11016,7267.474106,2,2,0,0,113.5878577,34.75350769
11016,6820.96655,0,0,0,0,113.5878577,34.7461267
14060,6558.538523,0,0,0,0,113.5878577,34.73874504
12607,5354.041608,0,0,0,0,113.5878577,34.73136273
1063,10407.21793,0,0,0,0,113.5878577,34.72397975
1063,2397.416098,0,0,0,0,113.5878577,34.71659612
1063,137.3232,0,0,0,0,113.5892241,34.71157766
5878,0,0,0,0,0,113.5933217,34.83215667
5006,687.5839422,0,0,0,0,113.5943556,34.82715397
4719,0,0,0,0,0,113.5943492,34.82005798
4719,0,0,0,0,0,113.5933701,34.81455629
4719,3345.416903,0,0,0,0,113.596436,34.80363252
4719,9409.610282,0,0,0,0,113.5968409,34.79777982
5234,5580.429442,0,0,0,0,113.5968409,34.79040278
11345,4882.810411,0,0,0,0,113.5968409,34.78302508
16374,5269.101853,0,0,0,0,113.5968409,34.77564672
16468,5371.915831,3,3,0,0,113.5968409,34.76826771
16043,7434.251344,0,0,0,0,113.5968409,34.76088803
14986,9956.667168,0,0,0,0,113.5968409,34.75350769
21599,13025.52044,0,0,0,0,113.5968409,34.7461267
21599,9772.483358,13,11,0,0,113.5968409,34.73874504
25974,6779.586748,0,0,0,0,113.5968409,34.73136273
17567,8858.231489,0,0,0,0,113.5968409,34.72397975
19213,3865.517077,0,0,0,0,113.5968409,34.71659612
1068,2263.445978,0,0,0,0,113.5968911,34.70977791
4719,618.1772472,0,0,0,0,113.6044776,34.80302652
4719,2393.59013,3,3,0,0,113.6058187,34.79777545
11158,2556.067879,21,19,0,1,113.605824,34.79040278
16374,3293.871852,3,3,0,0,113.605824,34.78302508
21302,6730.198488,3,3,0,0,113.605824,34.77564672
25260,6855.748942,1,1,0,0,113.605824,34.76826771
34717,9513.22989,18,16,1,1,113.605824,34.76088803
20288,8661.133408,23,14,4,1,113.605824,34.75350769
20288,11928.0912,3,2,0,0,113.605824,34.7461267
23576,6582.853393,12,9,2,0,113.605824,34.73874504
39639,4366.921412,3,2,0,0,113.605824,34.73136273
39796,5523.277058,0,0,0,0,113.605824,34.72397975
33789,5508.750761,0,0,0,0,113.605824,34.71659612
1535,5414.559935,0,0,0,0,113.6052089,34.71054953
8640,2276.60698,0,0,0,0,113.6130524,34.79648231
10821,3602.128824,7,7,0,0,113.614715,34.79033473
19982,6478.592309,1,1,0,0,113.6148072,34.78302508
21302,9422.57663,1,0,1,0,113.6148072,34.77564672
19560,4236.794931,33,23,4,3,113.6148072,34.76826771
31085,6310.431285,4,3,1,0,113.6148072,34.76088803
40943,6256.163644,7,4,2,0,113.6148072,34.75350769
40943,12648.76581,15,11,2,0,113.6148072,34.7461267
21163,7772.902953,9,7,1,0,113.6146853,34.73882268
46690,3144.868724,1,1,0,0,113.6135904,34.73161912
45910,2461.285707,0,0,0,0,113.6122785,34.72441939
1063,1870.012048,0,0,0,0,113.6125138,34.7161554
1063,166.5133662,0,0,0,0,113.6117201,34.71213149
13697,0,0,0,0,0,113.6204318,34.78846114
21253,1147.60562,0,0,0,0,113.6203773,34.78328206
24499,3959.213811,1,1,0,0,113.6215901,34.77514675
22356,5779.542711,3,3,0,0,113.6226668,34.76840754
25367,665.031228,3,3,0,0,113.6214191,34.76120225
26584,2389.570538,0,0,0,0,113.6206497,34.75356116
18013,5137.808625,3,1,1,1,113.620637,34.74612204
18013,422.0866169,4,2,2,0,113.6205129,34.74080377
