人口密度,长度,道路计数,火锅店数,四星半计数,四星级计数,三星半计数,纬度,经度
2656,1570.663895,4,0,0,0,0,34.66034674,113.5382777
2656,2581.712832,7,0,0,0,0,34.65295743,113.5382777
2656,927.4435666,3,0,0,0,0,34.64556746,113.5382777
2656,2508.171994,5,0,0,0,0,34.63817683,113.5382777
1552,2503.027101,4,0,0,0,0,34.63078782,113.5382748
1552,1545.681763,4,0,0,0,0,34.62365413,113.5374303
748,1345.775129,4,0,0,0,0,34.61671594,113.5367675
1063,0,0,0,0,0,0,34.70905864,113.5512899
1063,1134.074354,3,0,0,0,0,34.70399017,113.5497605
1063,2154.057299,6,0,0,0,0,34.69709647,113.5474603
1063,393.0536459,2,0,0,0,0,34.6898974,113.5472608
2519,1402.647523,2,0,0,0,0,34.68251072,113.5472608
2519,0,0,0,0,0,0,34.67512339,113.5472608
2656,954.0949762,1,0,0,0,0,34.66773539,113.5472608
2656,0,0,0,0,0,0,34.66034674,113.5472608
1878,4613.499202,24,0,0,0,0,34.65295743,113.5472608
1563,3980.800366,7,0,0,0,0,34.64556746,113.5472608
2367,983.0710017,2,0,0,0,0,34.63849339,113.5469232
2367,0,0,0,0,0,0,34.6322213,113.544403
1063,485.5095422,1,0,0,0,0,34.71746063,113.5590457
1063,678.0167413,1,0,0,0,0,34.71167972,113.5568302
1063,1723.54328,6,0,0,0,0,34.70466878,113.556244
1063,2337.627153,4,0,0,0,0,34.69728342,113.556244
1063,2104.90452,3,0,0,0,0,34.6898974,113.556244
1064,121.0108053,1,0,0,0,0,34.68251072,113.556244
2519,2827.372779,9,0,0,0,0,34.67512339,113.556244
2656,2510.335893,5,0,0,0,0,34.66773539,113.556244
1785,1710.289029,4,0,0,0,0,34.66034674,113.556244
1878,6174.580612,19,0,0,0,0,34.65295743,113.556244
1563,2962.904283,10,0,0,0,0,34.64556746,113.556244
1563,2069.303639,3,0,0,0,0,34.63869262,113.5566499
1563,0,0,0,0,0,0,34.63359074,113.559765
1063,36.48510283,1,0,0,0,0,34.71734386,113.5647041
1063,1759.891534,2,0,0,0,0,34.71205348,113.5652271
1063,764.6920335,2,0,0,0,0,34.70466878,113.5652271
1063,2221.578205,9,0,0,0,0,34.69728342,113.5652271
1063,546.2452564,1,0,0,0,0,34.6898974,113.5652271
1063,0,0,0,0,0,0,34.68251072,113.5652271
1489,750.0917571,3,0,0,0,0,34.67512339,113.5652271
1563,3070.169564,10,0,0,0,0,34.66773539,113.5652271
1563,803.2018328,3,0,0,0,0,34.66034674,113.5652271
1621,170.0494025,2,0,0,0,0,34.65295743,113.5652271
1563,2528.824266,9,0,0,0,0,34.64556746,113.5652271
1563,871.1843314,1,0,0,0,0,34.63817683,113.5652271
1429,0,0,0,0,0,0,34.63126037,113.5658484
1309,243.7512894,1,0,0,0,0,34.62362523,113.5683439
1309,0,0,0,0,0,0,34.61545188,113.5675376
1142,0,0,0,0,0,0,34.61004142,113.5682987
1063,641.2839101,3,0,0,0,0,34.71663085,113.5726373
1063,471.6947173,2,0,0,0,0,34.71201474,113.5741649
1063,1301.950697,3,0,0,0,0,34.70466878,113.5742103
1063,3004.972509,7,0,0,0,0,34.69728342,113.5742103
1065,1045.036251,2,0,0,0,0,34.6898974,113.5742103
1063,947.440364,2,0,0,0,0,34.68251072,113.5742103
1473,2881.903623,9,0,0,0,0,34.67512339,113.5742103
1563,1675.341969,3,0,0,0,0,34.66773539,113.5742103
1563,820.3816494,1,0,0,0,0,34.66034674,113.5742103
1563,1132.852676,2,0,0,0,0,34.65295743,113.5742103
1563,4024.512897,10,0,0,0,0,34.64556746,113.5742103
1563,2620.979476,5,0,0,0,0,34.63817683,113.5742103
1563,1504.16311,2,0,0,0,0,34.63078554,113.5742103
1563,1360.664591,4,0,0,0,0,34.62339359,113.5742103
1563,2112.442205,4,0,0,0,0,34.61612666,113.5740807
1142,20.46178254,1,0,0,0,0,34.60971841,113.5719469
1063,509.9602208,2,0,0,0,0,34.71065588,113.5825704
1063,1800.682471,3,0,0,0,0,34.70466878,113.5831934
1063,1929.636979,3,0,0,0,0,34.69728342,113.5831934
1063,824.1964023,1,0,0,0,0,34.6898974,113.5831934
1485,2295.368762,5,0,0,0,0,34.68251072,113.5831934
1473,2627.207833,5,0,0,0,0,34.67512339,113.5831934
1563,2665.105617,3,0,0,0,0,34.66773539,113.5831934
1563,821.7415292,1,0,0,0,0,34.66034674,113.5831934
1563,1162.204101,2,0,0,0,0,34.65295743,113.5831934
1563,3205.607537,11,0,0,0,0,34.64556746,113.5831934
1563,2200.117023,7,0,0,0,0,34.63817683,113.5831934
1563,1323.644019,3,0,0,0,0,34.63078554,113.5831934
1563,2439.478766,5,0,0,0,0,34.62339359,113.5831934
1560,1991.671743,5,0,0,0,0,34.61605944,113.5832666
1533,494.9954801,1,0,0,0,0,34.60905396,113.5847056
1533,0,0,0,0,0,0,34.60479114,113.5867798
1063,0,0,0,0,0,0,34.70936081,113.5894162
1063,1528.2311,4,0,0,0,0,34.70433703,113.5918868
1063,3036.259309,5,0,0,0,0,34.69728342,113.5921766
1063,2703.340702,7,0,0,0,0,34.6898974,113.5921766
1474,5731.713878,22,0,0,0,0,34.68251072,113.5921766
1563,1703.597616,3,0,0,0,0,34.67512339,113.5921766
1563,824.7201828,1,0,0,0,0,34.66773539,113.5921766
1563,0,0,0,0,0,0,34.66034674,113.5921766
1563,442.0330845,1,0,0,0,0,34.65295743,113.5921766
1563,3170.770717,6,0,0,0,0,34.64556746,113.5921766
1563,1702.369916,3,0,0,0,0,34.63817683,113.5921766
1527,1464.39872,2,0,0,0,0,34.63081976,113.5921307
1467,1295.418864,2,0,0,0,0,34.62361418,113.591032
1467,1249.881294,2,0,0,0,0,34.61614883,113.5902239
1467,1837.187562,5,0,0,0,0,34.60840825,113.5919806
1467,51.69625984,1,0,0,0,0,34.60458911,113.5928064
1063,1667.312246,6,0,0,0,0,34.70402212,113.6013942
5290,1063.549447,3,0,0,0,0,34.69728342,113.6011597
2637,3750.328569,10,0,0,0,0,34.6898974,113.6011597
2637,1376.369279,5,0,0,0,0,34.68251072,113.6011597
1563,856.3112547,3,0,0,0,0,34.67512339,113.6011597
1563,3090.989407,4,0,0,0,0,34.66773539,113.6011597
1563,393.2164822,1,0,0,0,0,34.66034674,113.6011597
1563,0,0,0,0,0,0,34.65295743,113.6011597
1563,3286.431299,7,0,0,0,0,34.64556746,113.6011597
1563,1168.743708,2,0,0,0,0,34.63817683,113.6011597
1529,1302.699536,3,0,0,0,0,34.63217714,113.6011997
1467,563.527455,1,0,0,0,0,34.60739286,113.5991467
1467,0,0,0,0,0,0,34.6045226,113.5982268
45910,45.71090714,1,0,0,0,0,34.72391892,113.6143467
1063,327.0814085,3,0,0,0,0,34.72042276,113.6139213
1063,1062.471086,8,0,0,0,0,34.70989472,113.6118461
1063,5739.698294,19,0,0,0,0,34.70466587,113.6101463
12283,895.7671804,2,0,0,0,0,34.69728342,113.6101429
3224,4460.572274,23,0,0,0,0,34.6898974,113.6101429
3224,520.206038,2,0,0,0,0,34.68251072,113.6101429
1563,631.0218536,1,0,0,0,0,34.67512339,113.6101429
1563,2103.861828,4,0,0,0,0,34.66773539,113.6101429
1563,556.6878707,2,0,0,0,0,34.66034674,113.6101429
1563,827.0443457,1,0,0,0,0,34.65295743,113.6101429
1563,3774.539225,12,0,0,0,0,34.64556746,113.6101429
1553,842.5561203,2,0,0,0,0,34.63817683,113.6101429
1512,1577.485098,3,0,0,0,0,34.63110167,113.6100742
21894,242.7074467,2,0,0,0,0,34.76051847,113.6234799
21894,3087.87543,32,0,0,0,0,34.75569933,113.6229014
26584,4559.316068,54,0,0,0,0,34.74897826,113.6227915
18013,3851.585216,31,4,0,1,3,34.74090484,113.622362
25367,4460.167579,22,0,0,0,0,34.73391874,113.6206605
25333,5664.679983,11,5,0,1,4,34.726671,113.6194141
15335,6464.834316,16,1,0,0,0,34.7194548,113.6191484
16132,6445.890701,13,3,0,0,2,34.71197207,113.6192602
13465,12668.67768,36,0,0,0,0,34.70466878,113.619126
13465,5375.053532,25,0,0,0,0,34.69728342,113.619126
3058,3717.565784,10,0,0,0,0,34.6898974,113.619126
3058,1639.618811,2,0,0,0,0,34.68251072,113.619126
1563,2035.148116,3,0,0,0,0,34.67512339,113.619126
1563,5116.789579,10,0,0,0,0,34.66773539,113.619126
1563,2255.242439,3,0,0,0,0,34.66034674,113.619126
1563,3204.091852,7,0,0,0,0,34.65295743,113.619126
1563,2949.185793,15,0,0,0,0,34.64556746,113.619126
1529,4879.610301,15,0,0,0,0,34.63874009,113.6184439
1529,22.8210286,1,0,0,0,0,34.63248829,113.6159014
21894,3856.181847,17,4,0,0,4,34.76277647,113.6274011
23170,8783.33665,55,132,2,12,100,34.75634782,113.6281092
35673,14792.89215,122,11,1,2,8,34.74896708,113.6281092
35673,7835.63739,44,0,0,0,0,34.74158568,113.6281092
44862,8688.161531,25,4,0,0,4,34.73420362,113.6281092
40523,4352.220263,8,4,0,0,2,34.7268209,113.6281092
19829,4437.239208,7,4,0,0,4,34.71943752,113.6281092
15165,3284.894524,4,2,0,0,1,34.71205348,113.6281092
7472,3955.360282,12,0,0,0,0,34.70466878,113.6281092
7200,5161.820531,21,2,0,1,0,34.69728342,113.6281092
7200,1720.835066,3,2,0,0,2,34.6898974,113.6281092
2969,909.3723509,3,0,0,0,0,34.68251072,113.6281092
2969,708.6436144,1,0,0,0,0,34.67512339,113.6281092
1563,4675.038455,11,0,0,0,0,34.66773539,113.6281092
1563,52.93086391,1,0,0,0,0,34.66034674,113.6281092
1563,1439.042253,3,0,0,0,0,34.65295743,113.6281092
1563,1988.205525,7,0,0,0,0,34.64556746,113.6281092
1563,628.377175,5,0,0,0,0,34.64120443,113.6264233
19799,835.3193561,10,1,0,0,1,34.76073395,113.6356494
37487,12131.72402,42,1,0,0,1,34.75634782,113.6370923
37487,10360.60152,53,3,0,0,1,34.74896708,113.6370923
71879,7558.334201,31,1,0,0,1,34.74158568,113.6370923
87440,8869.590623,20,5,2,2,1,34.73420362,113.6370923
65053,4896.637418,9,2,0,0,1,34.7268209,113.6370923
18215,4938.87161,9,9,0,0,9,34.71943752,113.6370923
7464,4486.198957,7,2,0,0,2,34.71205348,113.6370923
7200,5685.079336,15,0,0,0,0,34.70466878,113.6370923
7200,11104.39175,24,0,0,0,0,34.69728342,113.6370923
7200,3487.302929,17,1,0,0,1,34.6898974,113.6370923
7200,6738.275488,12,0,0,0,0,34.68251072,113.6370923
3744,3981.151406,8,0,0,0,0,34.67512339,113.6370923
1563,7942.981519,24,0,0,0,0,34.66773539,113.6370923
1563,2957.768355,5,0,0,0,0,34.66034674,113.6370923
1563,2466.697612,3,0,0,0,0,34.65295743,113.6370923
1563,1473.057659,2,0,0,0,0,34.6458526,113.6369956
1563,0,0,0,0,0,0,34.64186266,113.6326546
28619,3462.270381,31,1,0,0,1,34.76183467,113.648883
14881,10619.82508,50,1,0,0,1,34.75625865,113.6461209
14881,13618.12153,60,1,0,0,1,34.74896708,113.6460755
3383,13342.75819,68,8,0,0,8,34.74158568,113.6460755
30007,5669.141186,14,17,3,3,9,34.73420362,113.6460755
12429,2158.904343,4,35,3,5,19,34.7268209,113.6460755
8097,4612.329551,8,13,3,1,6,34.71943752,113.6460755
7226,3067.765714,5,1,0,0,1,34.71205348,113.6460755
7200,4523.413669,7,2,0,0,2,34.70466878,113.6460755
7200,10028.50481,20,0,0,0,0,34.69728342,113.6460755
7200,1707.622018,6,0,0,0,0,34.6898974,113.6460755
4074,4105.83105,7,0,0,0,0,34.68251072,113.6460755
3909,3792.917093,11,0,0,0,0,34.67512339,113.6460755
1563,4037.452879,9,0,0,0,0,34.66825297,113.6452435
1563,481.4789556,2,0,0,0,0,34.65981083,113.6453769
1563,1380.407773,2,0,0,0,0,34.65295743,113.6460755
1563,269.5572803,1,0,0,0,0,34.64565883,113.6461693
1563,0,0,0,0,0,0,34.64129345,113.6481961
28619,11560.31469,125,1,0,0,1,34.76243755,113.6549676
28619,15185.03152,82,0,0,0,0,34.75634782,113.6550586
22781,9577.162883,64,3,0,0,3,34.74899019,113.6550297
2352,7640.04561,46,7,1,1,4,34.74158274,113.6542548
29875,6478.985851,26,6,1,0,4,34.73415482,113.6549908
25112,5227.177324,16,0,0,0,0,34.7268209,113.6550586
10660,7040.34805,13,1,0,0,0,34.71943752,113.6550586
8176,6909.307129,15,11,1,1,8,34.71205348,113.6550586
7380,7255.977272,22,0,0,0,0,34.70466878,113.6550586
7200,17028.94466,47,1,0,0,1,34.69728342,113.6550586
7200,9381.295167,16,0,0,0,0,34.6898974,113.6550586
7201,4348.31048,12,1,0,0,0,34.68252174,113.655045
4074,3884.614036,10,0,0,0,0,34.67591388,113.6535261
1563,0,0,0,0,0,0,34.67079341,113.6511638
1563,0,0,0,0,0,0,34.65759847,113.6535032
1563,0,0,0,0,0,0,34.65315999,113.6547979
1563,543.2830557,1,0,0,0,0,34.64580706,113.6535904
1563,0,0,0,0,0,0,34.64156286,113.6512731
28619,1169.478028,9,0,0,0,0,34.7622232,113.6601771
28619,2941.651474,21,4,0,1,2,34.75573366,113.6604534
32726,2778.356188,23,0,0,0,0,34.75020468,113.6608337
26937,318.6034869,1,2,0,0,2,34.73227,113.6603919
26217,533.9234569,6,2,0,1,1,34.7263142,113.6618178
11169,3459.315885,9,5,0,1,4,34.71917238,113.6636253
8377,6275.651252,10,0,0,0,0,34.7121482,113.6639452
8371,322.0900115,2,0,0,0,0,34.7045673,113.6619094
7677,10227.02352,29,0,0,0,0,34.69728342,113.6640418
7276,5126.509266,19,0,0,0,0,34.69007929,113.6638448
7201,0,0,0,0,0,0,34.68398441,113.6613956
1563,0,0,0,0,0,0,34.65714311,113.6599169
1563,0,0,0,0,0,0,34.65503444,113.6601768
10344,0,0,0,0,0,0,34.71688236,113.6692332
8377,274.4564703,2,0,0,0,0,34.71270044,113.6693444
8428,0,0,0,0,0,0,34.70117523,113.6688461
7276,447.4044526,5,0,0,0,0,34.69703225,113.6691272
7276,409.0998914,4,0,0,0,0,34.69145152,113.6690516
